Model,Accuracy,Precision (Class 2.0),Recall (Class 2.0),F1 Score (Class 2.0),Precision (Class 3.0),Recall (Class 3.0),F1 Score (Class 3.0)
General RF,0.663,0.67,0.88,0.76,0.63,0.33,0.44
Men RF,0.75,0.72,1.0,0.84,1.0,0.29,0.44
Women RF,0.472,0.47,0.69,0.56,0.47,0.26,0.33
General SVM,0.717,0.7,0.95,0.8,0.81,0.36,0.5
Men SVM,0.675,0.67,1.0,0.8,1.0,0.07,0.13
Women SVM,0.604,0.56,0.96,0.7,0.88,0.26,0.4
General GB,0.576,0.63,0.71,0.67,0.45,0.36,0.4
Men GB,0.6,0.67,0.77,0.71,0.4,0.29,0.33
Women GB,0.509,0.5,0.73,0.59,0.53,0.3,0.38
General KNN,0.62,0.66,0.79,0.72,0.52,0.36,0.43
Men KNN,0.7,0.72,0.88,0.79,0.62,0.36,0.45
Women KNN,0.509,0.5,0.77,0.61,0.54,0.26,0.35
